DeviceID,Sequence Number,Value,Packet Timestamp,Arrival Time,Latency (ms)
1,2,437,2025-11-04 17:09:37,2025-11-04 17:09:37,736
1,3,441,2025-11-04 17:09:37,2025-11-04 17:09:37,738
1,4,445,2025-11-04 17:09:38,2025-11-04 17:09:38,726
1,5,Heartbeat,2025-11-04 17:09:39,2025-11-04 17:09:39,726
1,6,440,2025-11-04 17:09:40,2025-11-04 17:09:40,726
1,7,442,2025-11-04 17:09:41,2025-11-04 17:09:41,726
1,8,443,2025-11-04 17:09:42,2025-11-04 17:09:42,726
1,9,446,2025-11-04 17:09:43,2025-11-04 17:09:43,726
1,10,529,2025-11-04 17:09:44,2025-11-04 17:09:44,726
1,11,522,2025-11-04 17:09:45,2025-11-04 17:09:45,726
1,12,529,2025-11-04 17:09:46,2025-11-04 17:09:46,726
1,13,522,2025-11-04 17:09:47,2025-11-04 17:09:47,726
1,14,514,2025-11-04 17:09:48,2025-11-04 17:09:48,726
1,15,Heartbeat,2025-11-04 17:09:49,2025-11-04 17:09:49,725
1,16,518,2025-11-04 17:09:50,2025-11-04 17:09:50,726
1,18,509,2025-11-04 17:09:52,2025-11-04 17:09:52,726
1,19,519,2025-11-04 17:09:53,2025-11-04 17:09:53,726
1,20,452,2025-11-04 17:09:54,2025-11-04 17:09:54,726
1,22,449,2025-11-04 17:09:56,2025-11-04 17:09:56,726
1,23,448,2025-11-04 17:09:57,2025-11-04 17:09:57,726
1,24,444,2025-11-04 17:09:58,2025-11-04 17:09:58,725
1,25,Heartbeat,2025-11-04 17:09:59,2025-11-04 17:09:59,725
1,26,439,2025-11-04 17:10:00,2025-11-04 17:10:00,726
1,27,433,2025-11-04 17:10:01,2025-11-04 17:10:01,726
1,28,429,2025-11-04 17:10:04,2025-11-04 17:10:04,187
1,29,430,2025-11-04 17:10:04,2025-11-04 17:10:04,187
1,31,440,2025-11-04 17:10:05,2025-11-04 17:10:05,725
1,33,436,2025-11-04 17:10:07,2025-11-04 17:10:07,726
1,34,438,2025-11-04 17:10:08,2025-11-04 17:10:08,725
1,35,Heartbeat,2025-11-04 17:10:09,2025-11-04 17:10:09,725
1,36,442,2025-11-04 17:10:10,2025-11-04 17:10:10,725
1,37,449,2025-11-04 17:10:11,2025-11-04 17:10:11,725
1,38,447,2025-11-04 17:10:12,2025-11-04 17:10:12,725
1,39,449,2025-11-04 17:10:13,2025-11-04 17:10:13,726
1,40,441,2025-11-04 17:10:14,2025-11-04 17:10:14,725
1,41,451,2025-11-04 17:10:15,2025-11-04 17:10:15,725
1,42,461,2025-11-04 17:10:16,2025-11-04 17:10:16,725
1,43,454,2025-11-04 17:10:17,2025-11-04 17:10:17,726
1,44,449,2025-11-04 17:10:18,2025-11-04 17:10:18,726
1,45,Heartbeat,2025-11-04 17:10:19,2025-11-04 17:10:19,725
1,46,439,2025-11-04 17:10:20,2025-11-04 17:10:20,726
1,47,448,2025-11-04 17:10:21,2025-11-04 17:10:21,726
1,48,450,2025-11-04 17:10:22,2025-11-04 17:10:22,726
1,49,444,2025-11-04 17:10:23,2025-11-04 17:10:23,726
1,50,598,2025-11-04 17:10:24,2025-11-04 17:10:24,726
1,51,606,2025-11-04 17:10:25,2025-11-04 17:10:25,726
1,52,601,2025-11-04 17:10:26,2025-11-04 17:10:26,726
1,53,597,2025-11-04 17:10:27,2025-11-04 17:10:27,726
