msg_type,device_id,seq,timestamp,arrival_time,value,duplicate_flag,gap_flag,delayed_flag,cpu_time_ms,packet_size
1,1,0,2025-12-11 18:13:36,2025-12-11 18:13:36,-1,0,0,0,0.16410002717748284,15
3,1,1,2025-12-11 18:13:36,2025-12-11 18:13:36,-1,0,0,0,0.08450000314041972,12
4,1,2,2025-12-11 18:13:36,2025-12-11 18:13:36,419,0,0,0,0.036999990697950125,10
5,1,3,2025-12-11 18:13:36,2025-12-11 18:13:41,415,0,0,0,0.072900002123788,28
5,1,3,2025-12-11 18:13:37,2025-12-11 18:13:41,409,0,0,0,0.7282000151462853,28
5,1,3,2025-12-11 18:13:39,2025-12-11 18:13:41,406,0,0,0,1.6097000043373555,28
5,1,3,2025-12-11 18:13:40,2025-12-11 18:13:41,411,0,0,0,2.253100014058873,28
5,1,3,2025-12-11 18:13:41,2025-12-11 18:13:41,401,0,0,0,2.709399996092543,28
6,1,4,2025-12-11 18:13:47,2025-12-11 18:13:47,401,0,0,0,0.04270000499673188,8
5,1,5,2025-12-11 18:13:42,2025-12-11 18:13:48,392,0,0,0,0.06920000305399299,29
5,1,5,2025-12-11 18:13:43,2025-12-11 18:13:48,385,0,0,0,1.1166000040248036,29
5,1,5,2025-12-11 18:13:45,2025-12-11 18:13:48,391,0,0,0,2.1339000086300075,29
4,1,5,2025-12-11 18:13:46,2025-12-11 18:13:48,391,0,0,0,3.0473000078927726,29
5,1,5,2025-12-11 18:13:48,2025-12-11 18:13:48,382,0,0,0,4.128900007344782,29
5,1,6,2025-12-11 18:13:49,2025-12-11 18:13:54,388,0,0,0,0.07999999797903001,28
5,1,6,2025-12-11 18:13:50,2025-12-11 18:13:54,393,0,0,0,1.5066000050865114,28
5,1,6,2025-12-11 18:13:52,2025-12-11 18:13:54,402,0,0,0,2.6956000074278563,28
5,1,6,2025-12-11 18:13:53,2025-12-11 18:13:54,392,0,0,0,3.9844999846536666,28
5,1,6,2025-12-11 18:13:54,2025-12-11 18:13:54,399,0,0,0,4.831400001421571,28
5,1,7,2025-12-11 18:13:55,2025-12-11 18:13:59,393,0,0,0,0.07569999434053898,29
5,1,7,2025-12-11 18:13:56,2025-12-11 18:13:59,399,0,0,0,1.5038000128697604,29
4,1,7,2025-12-11 18:13:57,2025-12-11 18:13:59,399,0,0,0,2.8700999973807484,29
5,1,7,2025-12-11 18:13:58,2025-12-11 18:13:59,389,0,0,0,3.757500002393499,29
5,1,7,2025-12-11 18:13:59,2025-12-11 18:13:59,394,0,0,0,4.668100009439513,29
6,1,8,2025-12-11 18:14:05,2025-12-11 18:14:05,394,0,0,0,0.050700007705017924,8
5,1,9,2025-12-11 18:14:00,2025-12-11 18:14:06,390,0,0,0,0.044899992644786835,28
5,1,9,2025-12-11 18:14:02,2025-12-11 18:14:06,386,0,0,0,1.0246000019833446,28
5,1,9,2025-12-11 18:14:03,2025-12-11 18:14:06,390,0,0,0,1.7800999921746552,28
5,1,9,2025-12-11 18:14:04,2025-12-11 18:14:06,382,0,0,0,2.490999992005527,28
5,1,9,2025-12-11 18:14:06,2025-12-11 18:14:06,375,0,0,0,3.1962000066414475,28
5,1,10,2025-12-11 18:14:07,2025-12-11 18:14:11,366,0,0,0,0.03940000897273421,29
4,1,10,2025-12-11 18:14:08,2025-12-11 18:14:11,366,0,0,0,1.4033000043127686,29
5,1,10,2025-12-11 18:14:09,2025-12-11 18:14:11,372,0,0,0,2.540199988288805,29
5,1,10,2025-12-11 18:14:10,2025-12-11 18:14:11,365,0,0,0,3.86399999842979,29
5,1,10,2025-12-11 18:14:11,2025-12-11 18:14:11,360,0,0,0,4.894899990176782,29
5,1,11,2025-12-11 18:14:12,2025-12-11 18:14:16,364,0,0,0,0.04939999780617654,28
5,1,11,2025-12-11 18:14:13,2025-12-11 18:14:16,354,0,0,0,1.1303999926894903,28
5,1,11,2025-12-11 18:14:14,2025-12-11 18:14:16,357,0,0,0,1.9745999888982624,28
5,1,11,2025-12-11 18:14:15,2025-12-11 18:14:16,348,0,0,0,2.744400000665337,28
5,1,11,2025-12-11 18:14:16,2025-12-11 18:14:16,339,0,0,0,3.5121999972034246,28
5,1,12,2025-12-11 18:14:17,2025-12-11 18:14:22,346,0,0,0,0.03960001049563289,29
4,1,12,2025-12-11 18:14:19,2025-12-11 18:14:22,346,0,0,0,1.080799993360415,29
5,1,12,2025-12-11 18:14:20,2025-12-11 18:14:22,343,0,0,0,1.883399992948398,29
5,1,12,2025-12-11 18:14:21,2025-12-11 18:14:22,338,0,0,0,2.6898999931290746,29
5,1,12,2025-12-11 18:14:22,2025-12-11 18:14:22,342,0,0,0,3.465200017672032,29
