msg_type,device_id,seq,timestamp,arrival_time,value,duplicate_flag,gap_flag,delayed_flag,cpu_time_ms,packet_size,batch_index
1,1,0,2025-12-24 17:53:08,2025-12-24 17:53:08,-1,0,0,0,0.1731489974190481,14,0
3,1,1,2025-12-24 17:53:09,2025-12-24 17:53:09,-1,0,0,0,0.13226900045992807,12,0
4,1,2,2025-12-24 17:53:09,2025-12-24 17:53:09,437,0,0,0,0.02511299680918455,10,0
5,1,3,2025-12-24 17:53:09,2025-12-24 17:53:09,445,0,0,0,0.02945600135717541,9,0
5,1,4,2025-12-24 17:53:09,2025-12-24 17:53:09,453,0,0,0,0.03257199568906799,9,0
5,1,5,2025-12-24 17:53:10,2025-12-24 17:53:10,501,0,0,0,0.023414002498611808,9,0
5,1,6,2025-12-24 17:53:10,2025-12-24 17:53:10,473,0,0,0,0.02445199788780883,9,0
5,1,7,2025-12-24 17:53:11,2025-12-24 17:53:11,513,0,0,0,0.020958999812137336,9,0
6,1,8,2025-12-24 17:53:11,2025-12-24 17:53:11,513,0,0,0,0.023414002498611808,8,0
5,1,9,2025-12-24 17:53:12,2025-12-24 17:53:12,556,0,0,0,0.02407500141998753,9,0
4,1,10,2025-12-24 17:53:12,2025-12-24 17:53:12,556,0,0,0,0.023979999241419137,10,0
5,1,11,2025-12-24 17:53:13,2025-12-24 17:53:13,550,0,0,0,0.023600005079060793,9,0
11,1,13,2025-12-24 17:53:13,2025-12-24 17:53:13,-1,0,0,0,0.01755899575073272,8,0
6,1,12,2025-12-24 17:53:13,2025-12-24 17:53:13,550,1,0,0,0.10100899817189202,8,0
