DeviceID,Sequence Number,Value,Packet Timestamp,Arrival Time,Latency (ms)
1,2,100,2025-11-04 02:10:58,2025-11-04 02:10:58,926
1,3,53,2025-11-04 02:11:03,2025-11-04 02:11:03,944
1,4,136,2025-11-04 02:11:13,2025-11-04 02:11:13,976
1,5,Heartbeat,2025-11-04 02:11:39,2025-11-04 02:11:39,56
1,6,137,2025-11-04 02:11:48,2025-11-04 02:11:48,988
1,7,Heartbeat,2025-11-04 02:12:14,2025-11-04 02:12:14,70
1,8,136,2025-11-04 02:12:39,2025-11-04 02:12:39,52
1,9,69,2025-11-04 02:13:04,2025-11-04 02:13:04,132
1,10,68,2025-11-04 02:13:29,2025-11-04 02:13:29,117
1,11,Heartbeat,2025-11-04 02:13:54,2025-11-04 02:13:54,199
1,12,107,2025-11-04 02:14:04,2025-11-04 02:14:04,231
1,13,107,2025-11-04 02:14:19,2025-11-04 02:14:19,179
1,14,75,2025-11-04 02:14:24,2025-11-04 02:14:24,194
1,15,Heartbeat,2025-11-04 02:14:49,2025-11-04 02:14:49,280
1,16,76,2025-11-04 02:15:09,2025-11-04 02:15:09,244
1,17,82,2025-11-04 02:15:34,2025-11-04 02:15:34,331
1,18,90,2025-11-04 02:15:44,2025-11-04 02:15:44,368
1,19,71,2025-11-04 02:15:49,2025-11-04 02:15:49,383
1,20,70,2025-11-04 02:15:59,2025-11-04 02:15:59,315
